년도,도로종류,도로종류코드,지점번호,호선명,호선코드,상/하행,상/하행코드,시간대,시간대코드,지역,지역코드,구간명,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종,전차종합계
2024,고속국도,1,00135,경부고속도로,1,하행,2,08시~09시,08,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,4514,619,407,151,91,32,43,0,0,25,0,7,5889
2024,고속국도,1,00135,경부고속도로,1,상행,1,09시~10시,09,경기 화성 동탄면,3124044,기흥IC → 수원신갈IC,3287,409,415,137,148,51,23,0,0,30,0,11,4511
2024,고속국도,1,00135,경부고속도로,1,하행,2,09시~10시,09,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,4558,488,426,202,131,46,62,0,0,29,0,13,5955
2024,고속국도,1,00135,경부고속도로,1,상행,1,10시~11시,10,경기 화성 동탄면,3124044,기흥IC → 수원신갈IC,3645,347,535,237,171,57,43,0,0,42,0,19,5096
2024,고속국도,1,00135,경부고속도로,1,하행,2,10시~11시,10,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,4300,351,469,213,125,43,67,0,0,31,0,17,5616
2024,고속국도,1,00135,경부고속도로,1,상행,1,11시~12시,11,경기 화성 동탄면,3124044,기흥IC → 수원신갈IC,3719,266,641,230,165,58,49,0,0,26,1,15,5170
2024,고속국도,1,00135,경부고속도로,1,하행,2,11시~12시,11,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,4627,312,591,179,186,51,60,0,0,35,0,15,6056
2024,고속국도,1,00135,경부고속도로,1,상행,1,12시~13시,12,경기 화성 동탄면,3124044,기흥IC → 수원신갈IC,4285,260,614,215,190,62,64,0,0,39,0,9,5738
2024,고속국도,1,00135,경부고속도로,1,하행,2,12시~13시,12,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,4328,344,559,245,167,76,80,0,0,32,0,32,5863
2024,고속국도,1,00135,경부고속도로,1,상행,1,13시~14시,13,경기 화성 동탄면,3124044,기흥IC → 수원신갈IC,4280,295,528,206,117,33,38,0,0,22,1,3,5523
2024,고속국도,1,00135,경부고속도로,1,하행,2,13시~14시,13,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,3851,253,573,205,127,42,50,0,0,20,0,9,5130
2024,고속국도,1,00135,경부고속도로,1,상행,1,14시~15시,14,경기 화성 동탄면,3124044,기흥IC → 수원신갈IC,4233,329,488,137,110,27,26,0,0,18,0,3,5371
2024,고속국도,1,00135,경부고속도로,1,하행,2,14시~15시,14,경기 화성 동탄면,3124044,수원신갈IC → 기흥IC,4408,308,588,189,150,66,35,0,0,25,0,15,5784
